-3,16,1,5,-4,-8,32,6,19,36,-31,26,-22,34,-25,-2,28,-30,-9,29,-33,13,35,27,15,-12,-24,-17,-20,18,11,-7,21,-14,-23,-10
-18,36,30,-17,20,-22,28,-12,35,24,23,8,31,-16,33,14,4,1,29,-5,-26,6,-11,-10,-34,21,32,-7,-19,-3,-13,-27,-15,25,-9,-2
-32,19,16,7,26,-21,-4,17,-30,12,-33,-10,-24,-36,-22,-3,-8,-34,-2,23,6,15,-20,13,29,-5,31,35,-25,9,-27,1,11,18,-28,14
10,-35,-23,-13,-12,8,18,-6,36,-1,-21,5,4,33,26,-31,-28,-7,34,-29,11,-24,3,22,32,-15,30,17,20,-27,16,-25,-14,-19,2,-9
29,28,-32,27,-30,35,-15,-24,-31,-34,-13,19,11,25,7,23,20,21,-12,-17,-18,-26,-16,8,-14,22,-4,-2,-1,5,9,3,36,10,-6,-33
-23,30,15,-5,4,9,-31,28,-6,32,17,-26,14,-13,-3,19,-11,33,-16,25,27,24,1,-22,-20,12,-21,-8,36,-2,7,-10,-18,-35,34,-29
-35,15,-20,22,-34,-10,-9,-36,7,6,13,31,-11,16,-2,-14,18,-17,-25,3,-32,-4,-26,29,19,23,28,-27,-24,-33,-12,21,30,5,1,8
31,-9,-6,21,-15,3,34,20,2,-36,-30,17,-28,26,5,32,-12,22,23,-8,-4,-18,-19,33,-27,-14,25,13,35,11,-1,-16,-24,-7,-29,10
-25,-6,-7,16,-31,2,3,-21,-24,29,19,23,33,-22,-28,-4,-18,17,-11,30,8,14,-12,9,1,-35,-32,15,-10,-20,5,27,-13,-36,26,34
36,35,11,-6,9,4,29,22,-5,-13,-3,-27,10,21,24,26,25,-19,18,32,-14,-8,31,-15,-17,-16,12,-33,-7,34,-23,-20,28,-30,-2,-1
8,-22,-34,-28,32,-15,-33,-1,-25,-24,-23,-14,-26,12,6,35,-36,-20,-21,18,19,2,11,10,9,13,-31,4,30,-29,27,-5,7,3,-16,17
-31,20,-18,33,-7,-13,5,34,16,-23,-29,30,6,36,-19,-9,-35,3,15,-2,-22,21,10,-25,24,-27,26,-32,11,-12,1,28,-4,-8,17,-14
27,-25,13,14,-20,12,8,-7,-28,21,30,-6,-3,-4,22,-29,23,-35,-34,5,-10,-15,-17,26,2,-24,-1,9,16,-11,-33,-36,31,19,18,32
-10,-15,20,-35,29,-18,21,14,-26,1,-16,-13,12,-8,2,11,36,6,27,-3,-7,-30,24,-23,-32,9,-19,31,-5,22,-28,25,-34,33,4,-17
-5,7,-16,26,1,30,-2,-27,33,-21,-19,-31,35,29,-20,3,24,-23,11,15,10,-25,18,-17,22,-4,8,-36,-14,-6,12,34,-9,-32,-13,28
19,32,24,18,-26,11,-27,9,-8,17,-6,16,-14,13,36,-12,-10,-4,-1,-21,20,28,-30,-3,-35,5,7,-22,33,23,-34,-2,-29,31,25,-15
-26,5,18,-7,-2,-25,4,-13,-35,15,29,-32,8,-19,-10,-33,-31,-3,14,22,-23,-20,21,34,6,1,-28,27,-11,-36,17,12,16,-24,9,30
-27,-36,10,-31,-33,22,-12,-30,-16,-3,-26,7,-20,17,-23,9,-14,28,-35,13,-25,-6,15,32,21,11,1,-18,-34,8,4,-24,5,29,19,2
-33,27,-11,23,16,-14,-8,7,25,20,3,-28,32,6,35,-5,30,29,26,-10,24,31,-4,-21,-9,-19,-2,12,-18,-17,-22,-13,1,36,-15,-34
6,33,-25,15,-11,-1,-28,36,-27,-14,5,22,-30,10,-4,18,-24,-16,-29,-26,35,-12,-32,17,3,20,9,7,19,13,34,23,-2,-31,-21,-8
-13,-23,35,24,8,-11,25,-5,14,-26,6,-29,1,-9,-27,-32,-34,-28,-22,-30,-31,19,2,-4,-7,10,15,18,12,20,21,16,-36,17,-3,33
-8,25,-19,-12,28,10,-23,1,34,-6,-18,4,-21,-17,16,-15,14,11,3,36,13,27,7,-33,-2,-32,-22,-5,-35,31,-30,26,24,-9,29,-20
-16,11,5,8,-3,36,-26,-4,20,33,-2,-15,30,18,12,1,-27,-14,21,-9,-19,-29,-34,25,-24,7,17,-35,22,-13,32,-31,-10,23,28,-6
20,-24,21,-32,-10,-35,-13,19,-23,5,12,-11,7,-15,14,28,26,30,-8,-1,-3,-36,9,2,31,-17,-29,-16,27,-18,-25,4,34,-33,6,22
25,-12,-14,31,33,15,22,-9,8,-29,-34,2,-16,3,-6,13,27,24,-30,35,-28,-7,36,-18,-1,32,-17,21,10,19,-4,-26,-5,11,-20,-23
24,13,9,-33,-8,-19,-21,5,-3,23,32,34,-2,30,17,-20,-15,25,6,16,7,29,-10,-1,-18,-36,35,-31,-22,-14,28,-11,4,-12,-27,26
-9,23,29,-22,-35,18,-36,30,1,-32,-17,-33,27,-31,-24,-19,11,-6,16,-28,25,4,-2,15,-21,34,-13,20,-3,-8,14,10,12,-26,5,7
