19,-29,42,-8,12,9,20,4,-6,-41,-24,-5,14,-13,46,32,25,33,-1,-7,-45,44,43,11,-17,-40,-47,-31,2,38,28,-16,-18,-39,48,37,-36,-30,34,26,10,-3,-23,-22,21,-15,27,-35
9,-45,-17,12,-11,-39,-14,24,-1,21,5,-4,-47,7,28,-44,3,26,-43,33,-10,-31,36,-8,37,-18,48,-15,-46,-42,22,41,-20,40,-38,-23,-25,35,6,-34,-32,30,19,16,2,29,13,-27
12,21,-25,-37,-16,45,30,-43,13,35,48,-1,-9,-34,42,5,-23,-22,-26,40,-2,18,17,47,3,19,29,-46,-27,-7,32,-31,38,14,-10,39,4,-33,-36,-20,-44,-15,8,41,-6,28,-24,-11
-37,20,-34,-48,35,-21,43,29,27,-18,-16,31,44,22,-19,11,47,10,15,-2,6,-14,-32,-38,39,-42,-9,30,-8,-28,-12,23,-41,3,-5,-46,1,24,-25,-45,33,26,-7,-13,40,36,-17,4
-36,-44,17,24,25,13,-47,-11,-43,27,8,32,-6,-29,-18,-39,-3,15,20,-19,-48,38,28,-4,-5,-35,-10,-23,14,46,45,-12,42,-37,26,1,34,-22,16,41,-40,-33,9,2,-31,-30,7,21
13,9,-12,18,14,-17,19,-10,-2,8,-48,3,-1,-5,-29,-35,6,-4,-7,26,47,24,-46,-22,-42,-20,38,-33,15,-40,-32,31,28,-43,16,-39,-41,-27,36,30,37,25,34,-45,44,23,-21,11
21,-25,-38,-39,-30,34,-23,-36,-15,11,-10,-35,33,19,9,41,-24,-31,-14,-22,-1,20,7,17,2,37,45,43,-42,5,18,-47,-13,-6,12,8,-26,3,4,46,-16,29,-28,48,-27,-40,32,-44
31,-16,12,41,40,-14,-11,45,26,-25,7,-3,-20,6,33,2,46,-30,23,13,38,-47,-19,-32,10,-9,-29,44,27,18,-1,24,-15,35,-34,43,42,-21,-48,-5,-4,-37,-36,-28,-8,-17,22,39
-6,41,31,-46,30,1,-28,-38,-22,45,-18,-13,12,-47,-21,-48,-29,11,39,35,15,9,26,-33,-27,-23,25,7,17,-5,-3,37,24,-40,-20,42,-32,8,-19,34,-2,-36,44,-43,-10,4,14,16
33,-18,-4,3,15,-27,17,-42,38,-14,39,21,-26,10,-5,29,-7,2,47,43,-12,-45,-30,37,-41,13,6,-32,-16,23,40,28,-1,46,36,-35,-24,-9,-11,-31,25,8,-20,-48,22,-34,-19,44
41,17,-32,-25,-39,-36,34,18,24,-11,10,-26,27,-40,30,37,-2,-8,-33,-47,46,35,-44,-9,4,12,-13,31,43,-15,-28,3,19,-7,-22,6,-16,-42,5,14,-1,38,-29,23,48,-21,20,-45
