27,48,12,24,50,25,21,-46,19,32,22,-3,52,-58,20,37,-40,-30,-9,-15,-7,-11,-42,-4,-6,-47,-1,59,-41,18,43,-10,-39,-38,57,54,-16,34,33,17,29,23,-31,56,55,8,26,-2,51,-5,-49,-13,60,-36,-45,-44,-35,14,-28,-53
34,21,32,-55,-31,57,35,-22,-49,17,-53,-27,-30,26,51,-20,-10,-43,45,16,-2,8,-40,-47,-29,-14,12,44,25,13,5,-3,-60,-1,-7,-58,-50,-48,-54,23,59,-46,18,-28,-19,42,24,38,9,37,-15,-56,11,39,4,52,-6,36,-41,33
-23,29,-50,58,16,55,-17,39,15,46,-54,36,-43,-53,-9,-5,7,47,-44,48,32,45,1,35,31,60,-59,-41,-2,-37,-25,-21,57,-56,-24,-12,30,-52,-8,-42,28,40,13,19,-22,-10,-18,-20,-51,3,49,38,14,11,-6,34,-33,-4,27,-26
25,-4,59,2,52,-13,-60,9,-8,-14,-45,22,6,10,28,-17,16,-34,-49,26,-24,-12,44,21,-1,-20,-43,-15,53,-50,51,54,-42,18,-38,-39,-57,35,36,-48,-47,33,27,-23,11,-56,41,40,19,30,-31,-5,-29,-32,58,46,37,-55,-3,7
-21,55,5,-25,-3,-52,-53,22,-19,31,30,-37,17,39,44,40,-13,28,9,-60,1,-8,-35,47,4,-32,-29,-18,27,-11,-10,26,43,-54,23,46,12,50,-14,-16,-45,-57,-33,-15,41,-36,-24,-49,48,-38,-58,6,7,34,-2,-59,42,51,56,20
-28,-7,-27,-46,-47,-16,2,-56,35,-59,-25,-26,-40,-23,-43,6,-57,-20,-48,18,-44,38,14,-52,11,12,3,1,-50,32,-39,-30,-51,37,-9,45,-34,-22,31,13,49,-55,15,21,-36,4,5,19,-41,29,33,24,54,-53,42,8,17,-60,10,58
14,-35,-26,-43,51,54,-50,44,58,-22,45,41,-21,-1,-19,-31,-29,56,15,32,13,10,-38,-48,39,3,40,-52,17,47,16,-20,59,55,2,-53,60,23,-25,-27,-12,49,4,-8,-11,57,-30,24,-42,7,-5,28,36,-6,-34,-18,-46,-9,-33,-37
-31,-16,27,15,-29,-44,-47,-42,54,-11,10,-43,23,41,-4,2,53,40,50,56,57,-34,-13,30,-45,36,-3,-59,5,-24,1,35,-48,22,-32,-26,55,-49,-60,-18,-14,8,12,6,25,-51,7,33,38,-19,46,-58,-17,-9,-37,-20,-21,52,28,39
41,56,57,21,44,58,11,-30,-10,9,-7,-17,24,31,32,-35,12,-38,-46,-55,-4,53,51,-13,34,-29,37,42,26,8,-14,-15,-40,-25,16,-45,-27,18,47,33,-1,-28,-59,-5,36,19,-39,-60,-50,49,-23,-54,-22,52,20,-2,-3,-6,43,48
9,24,-21,-51,23,16,13,-39,-1,-15,52,-32,-7,35,10,-6,-22,-36,-42,-28,3,17,-5,-2,46,-60,29,20,-27,-45,50,12,-38,-41,-14,18,-48,33,8,53,34,19,55,49,30,-25,-56,37,-44,-31,4,-11,-40,59,-43,47,58,-57,-54,26
-51,50,-24,45,-52,-53,27,21,11,-12,-9,10,60,-31,56,-41,-20,-32,30,17,-8,-58,38,3,-39,37,-7,55,44,-19,14,18,42,-49,-43,57,-26,-23,25,-46,16,-33,35,-29,-4,40,54,-59,34,-2,1,5,6,-47,-28,-15,-36,22,48,-13
28,-26,45,-56,-27,-43,-59,53,-33,40,58,57,-14,13,-34,30,-60,24,41,44,-23,-46,21,-18,48,2,5,-1,-54,-16,42,-37,9,15,-55,-47,32,49,-50,-10,-19,-31,6,-20,-3,22,36,-25,-38,39,-52,51,-8,29,35,4,-12,-11,7,17
-50,45,36,40,-18,-54,-57,60,52,23,-35,-22,-41,-56,-48,43,21,5,-38,-53,-17,12,-10,58,-46,44,-42,51,32,39,-55,-29,-59,49,11,-3,-47,19,-30,-4,13,27,-16,-26,-2,25,37,15,-34,1,-28,-9,20,6,31,14,7,-24,33,-8
-9,-28,-11,18,34,19,-44,-32,1,-35,3,50,48,15,-14,56,-33,-4,-6,-45,-55,-27,30,-36,-31,-51,22,2,-37,-23,25,8,17,-5,10,24,29,-58,-40,39,57,-43,42,7,20,-52,-54,-13,53,-12,26,46,-49,47,21,-16,-41,38,-60,59
44,-25,8,-47,-39,46,33,-3,-42,-30,60,14,58,-12,55,-21,-32,41,38,-26,16,-37,-27,-57,2,20,23,29,-28,10,-40,17,-7,48,51,-56,22,-19,5,31,-18,9,53,-1,-50,-6,4,-34,-59,45,-35,54,-43,-52,-15,36,24,-13,49,-11
-47,52,-38,39,25,-18,36,-51,-20,43,15,-49,-45,-59,-11,-55,50,6,-53,9,-34,40,42,60,-5,-31,48,-32,35,46,26,28,41,21,-29,-7,44,3,-4,-22,-33,-23,-10,-37,13,-30,1,-27,12,-17,8,-2,19,56,16,-54,-58,57,14,-24
