-11,8,17,27,-23,-40,-59,-2,48,-36,1,-51,-33,-22,-30,-38,-3,60,50,-34,-28,14,5,-43,-56,42,-4,21,-41,15,-46,-39,13,20,-53,10,-55,16,32,6,29,-26,24,-45,44,31,-54,-9,-52,-19,12,49,35,47,37,25,58,-57,7,-18
27,-23,-14,-53,-30,32,17,-51,57,45,-54,26,55,3,21,43,-7,42,22,-48,-15,-19,2,25,-24,-12,-1,38,49,5,50,-6,59,46,-36,35,-58,-28,44,-41,40,-18,-16,-39,-10,-34,52,20,-29,-31,8,-47,4,11,-13,60,-9,37,-33,-56
29,58,-27,22,-32,-14,-53,-52,-12,33,-15,9,-21,6,11,-50,57,-38,-48,49,13,-4,-25,35,23,31,3,-59,-1,-43,-26,5,-10,54,-24,-39,-60,18,36,51,-55,-44,30,42,56,-47,46,19,-20,16,-40,8,7,-34,41,-45,-17,-2,28,37
-51,9,48,7,10,25,-4,43,-2,-5,21,40,59,-38,-52,-17,16,32,-42,-22,-11,20,58,60,-6,-37,-50,34,45,55,-49,-18,53,-28,54,41,26,14,-46,-12,-36,19,-8,-57,-29,39,-56,-3,31,27,1,15,-33,-35,-30,47,44,-23,-13,-24
15,6,60,-19,38,-2,22,-11,-59,-41,8,-21,49,28,-1,-26,-56,34,4,-40,12,-7,-33,-45,-54,16,52,-14,36,37,55,50,23,-18,-39,-29,-30,-5,35,20,10,57,-58,-48,24,-51,53,44,-13,-32,46,-27,-47,25,-31,17,-42,43,9,-3
-21,-56,-29,-38,-15,34,42,-26,33,-57,-16,-52,36,-49,5,11,-32,-44,39,60,1,23,-22,30,48,8,-55,-47,3,-24,-50,17,-9,-6,-58,-13,-41,4,-19,-45,37,-7,51,18,40,-54,28,-25,14,31,-43,12,-59,46,27,2,10,35,53,-20
33,-49,50,55,56,-22,41,38,43,27,-14,-47,-37,11,-18,-53,25,15,-30,36,-40,6,-35,-44,-17,-28,-10,26,-39,19,52,-48,-1,59,23,-20,13,-8,29,21,-7,58,-9,24,-60,51,12,32,2,-3,-46,-31,16,-57,-4,-5,54,-42,-34,45
-29,34,-44,-58,-16,-59,-12,-22,52,-51,-27,7,-36,19,47,5,-45,-54,-14,-21,20,8,53,31,-46,-33,11,49,1,-42,-24,-43,26,-2,41,13,-48,56,50,55,-35,30,32,3,17,25,-15,37,-28,-39,10,-9,-23,18,-40,-38,-60,4,6,57
35,-47,-58,14,26,13,10,54,-53,-7,51,43,-6,-4,-37,-55,-49,-21,-31,28,18,-32,-56,-46,-41,-5,59,-20,-52,38,19,22,44,36,-1,-34,15,-30,60,50,25,48,-12,-33,57,24,2,-42,17,-40,-11,29,9,-8,16,23,-45,3,-27,-39
23,48,53,43,-18,-38,-14,-42,-29,-25,-32,-50,22,7,41,30,-57,5,45,-35,-34,-13,-1,27,10,39,-24,-58,9,-16,-59,11,-37,21,20,46,33,6,-26,-49,-15,8,-4,-55,-19,-36,60,-2,40,12,56,-54,-3,52,44,-51,17,28,31,-47
59,37,-22,-25,34,18,-28,11,-23,42,-8,-20,48,31,-46,33,32,-6,57,12,54,3,9,-38,4,45,43,7,35,52,-14,-17,-16,-5,-29,58,-2,24,-41,53,39,-10,-27,-51,-26,15,49,-13,-47,-56,44,-30,-40,-21,60,50,-19,-36,-1,-55
-7,-42,24,-60,13,49,1,47,25,23,-31,29,-5,-48,-38,21,40,52,-39,45,-16,51,-10,-3,-9,-50,55,-37,-12,-34,11,53,-54,30,56,-43,28,15,19,-17,-46,2,36,58,-20,41,-8,14,-6,26,-22,-18,-32,33,-27,-35,-59,-44,57,4
-34,-45,10,-9,-33,-32,-30,-15,4,-3,41,39,42,-40,8,-47,-59,-48,44,31,-46,-24,38,22,43,-51,-57,55,-37,7,-20,6,5,1,36,-35,29,-23,-12,14,-11,-13,-25,-19,2,21,16,18,56,-53,26,60,50,-58,-28,-49,27,54,17,-52
56,10,-51,46,-36,-9,27,59,6,-2,-35,31,-32,-57,24,-21,23,53,41,47,16,-33,-17,-15,-30,-44,-7,37,43,25,-12,13,22,-45,11,5,-28,60,54,52,-19,55,-29,26,34,-4,-20,-50,-58,48,3,-40,-18,-39,-42,-1,14,49,-8,-38
