14,-4,-13,2,-12,15,11,-18,-16,17,-7,5,3,-1,-6,9,-10,8
5,3,-2,9,-1,-14,15,17,-4,16,12,-11,18,6,-7,-10,-8,-13
-17,-15,4,-3,-10,8,-12,-6,13,5,14,7,-9,-11,2,18,1,-16
-5,14,-9,-16,1,17,-11,-13,3,-12,7,10,8,-2,18,4,-6,-15
-14,-3,2,10,-7,-8,5,6,-17,-4,-18,15,16,1,-12,-13,9,11
3,18,-1,-6,-8,4,-9,5,7,15,13,-16,-11,17,-10,12,-14,-2
12,-17,-11,-10,16,-18,14,9,-8,4,3,-1,-15,-7,13,-5,2,6
-7,5,8,17,-2,16,1,-3,-12,-13,18,9,10,-15,14,-6,-4,-11
16,-13,11,14,-9,-17,-15,12,5,-18,-3,-8,2,-4,7,-1,6,10
-18,-6,-17,15,8,2,9,-5,-7,11,-10,-14,-16,12,-4,13,3,1
-12,10,7,-13,18,-15,-3,-16,17,-2,-14,1,4,11,6,8,-9,-5
4,-8,9,-1,13,-10,12,2,-3,6,15,-7,-5,-18,-11,-17,16,14
-10,7,13,-11,-17,-9,-2,15,6,1,4,14,-3,-12,-8,-18,5,16
-6,-5,-14,18,2,1,-10,-9,8,7,-13,17,11,3,-16,15,-12,-4
-4,6,18,1,-14,-2,13,16,12,-15,-17,-9,-7,5,10,-8,11,-3
7,-11,-15,13,10,-16,-1,14,-18,-5,2,-17,-4,-8,3,6,12,9
-9,17,-5,-7,3,14,4,-11,1,18,8,16,15,-6,-13,-12,-2,-10
-16,-12,15,-17,9,11,-8,7,-5,13,-6,2,-10,18,-3,1,4,-14
-2,1,17,7,-16,18,-4,-15,-14,-11,10,-13,12,9,8,5,-3,-6
6,8,-12,-15,11,-1,-18,-2,16,14,-5,3,-17,-10,4,-9,13,7
11,4,14,-2,17,10,16,13,-15,-6,-1,-18,-8,-3,9,-7,-5,12
-3,-10,1,16,7,12,-5,18,-11,2,9,-6,-14,13,-17,-4,15,-8
15,-16,5,-14,-3,7,-6,-10,18,8,-12,11,17,4,-1,2,-13,-9
17,9,-10,12,-18,-11,-13,-14,-2,3,6,-4,7,8,16,-15,-1,5
18,-7,12,8,15,-13,2,-4,11,-17,-9,-3,6,-16,-5,14,10,-1
-8,16,-7,-5,4,9,3,1,-6,-14,17,13,-12,10,-18,-2,-11,15
-13,11,-4,3,-6,5,18,-12,14,-16,-2,8,1,-9,17,10,-15,-7
8,-14,6,11,-15,-3,-16,-1,-13,12,-4,-10,9,2,5,7,-18,17
2,-1,-18,-12,14,13,10,-17,15,-7,16,4,-6,-5,-9,-11,8,3
9,13,16,6,-11,-4,-17,10,-1,-8,5,18,-2,15,-14,-3,7,-12
-11,15,-6,-8,12,3,-14,4,-10,9,1,-5,-18,7,-2,17,-16,13
10,-18,-8,-9,-13,-12,17,3,4,-1,-15,6,5,16,11,-14,-7,2
13,-9,10,-18,6,-5,8,-7,2,-3,-16,-15,-1,-17,12,11,14,4
-15,12,-16,5,-4,-7,6,11,10,-9,-8,-2,14,-13,1,3,18,-17
