-20,-23,-25,-10,-8,11,24,5,-16,4,-6,-22,28,21,19,9,30,27,-15,1,-14,12,2,-7,3,29,-18,-13,-26,-17
-21,8,4,-3,-30,12,23,-2,-13,17,14,-6,9,-11,24,18,-10,-16,25,28,1,26,-7,-15,-19,-22,29,-20,-27,5
14,25,-24,7,13,27,-4,-22,-26,-21,18,-23,-5,-1,-29,-19,20,-11,16,-17,10,8,12,3,-2,9,-6,-30,15,28
-12,-21,-28,-13,-16,-17,-30,19,24,25,-15,1,4,22,11,5,6,29,-8,-23,2,-14,20,-9,-10,-27,26,3,-18,7
-28,-4,-12,2,24,15,-17,21,29,-23,-14,3,30,11,-6,19,7,-20,-16,18,-8,-26,10,-5,27,22,-25,1,-9,-13
-30,24,8,-20,-29,19,22,-3,14,11,-10,-18,-16,-9,-21,13,-25,12,-6,4,15,-7,-27,-2,17,28,23,-26,5,1
8,-25,-30,-14,-6,5,20,-1,-24,-28,21,13,-12,4,27,-22,-23,-29,26,-7,-11,16,17,9,2,-19,-15,10,18,3
15,-8,9,25,23,-30,-22,2,-3,-29,17,28,27,-16,-1,14,-11,26,21,-24,-19,7,-5,20,-4,-18,-13,-12,10,6
-19,14,-8,-27,12,-23,-26,3,10,-9,15,-5,24,-2,-11,-28,18,-17,1,21,-20,30,6,-13,29,7,4,16,-25,-22
-5,-30,-16,13,1,28,-29,11,23,22,-8,27,-4,25,26,3,-20,24,-21,17,19,-10,-9,-18,-14,-15,-12,-6,7,2
16,-24,17,-25,-10,8,14,-6,27,5,-26,20,19,-7,22,-1,-3,23,-13,-12,-29,-15,-18,2,4,11,-9,30,21,-28
28,15,26,5,-4,-29,-25,12,-10,9,-16,-8,22,17,-2,11,-14,-24,20,-19,23,-13,-21,18,7,-3,30,-1,6,-27
21,-18,-20,6,-14,-4,-23,-15,19,-17,28,-24,-26,5,8,27,10,2,-9,3,-1,25,7,12,-22,13,-16,-11,-30,29
-10,-17,-21,-12,8,-15,9,-5,-7,1,-13,4,11,-29,6,20,2,-26,27,-16,3,28,30,-25,24,18,-19,-22,14,-23
22,-7,19,-8,-27,16,2,4,-29,26,-18,-30,23,-25,20,-6,-24,11,-3,-15,-28,-1,-13,17,14,-10,5,21,9,12
6,12,13,-5,4,-1,28,29,22,-14,-27,-2,-3,10,-18,-30,19,15,-17,25,24,-9,26,-21,-20,-23,11,-7,-8,16
