-10,-30,23,-15,18,27,-9,-11,7,1,8,21,-22,26,4,-29,-20,-5,25,17,-12,13,-3,-28,-19,-14,-6,24,16,2
3,-12,-1,-9,-27,29,13,-22,4,15,-25,2,-7,-21,-10,-17,16,-26,28,30,14,8,-24,23,11,18,5,-19,-6,-20
-12,14,-6,-11,-24,3,-8,7,-17,-28,4,1,15,-2,-13,22,9,23,-27,-29,-26,-16,-18,5,30,21,19,10,20,-25
-6,-29,22,-8,26,1,-27,4,12,19,17,-9,-24,20,-30,-25,-11,23,-10,-14,-28,-3,-18,13,16,-5,7,21,2,15
-29,-20,-17,7,-18,28,-4,9,-8,-25,-30,16,-15,21,13,-12,3,5,-24,2,-14,27,26,19,10,-23,-22,-6,1,11
16,3,-2,-29,-25,10,-15,-27,-18,-6,26,-23,19,-22,7,-1,-30,9,-13,-24,28,14,12,20,5,-11,8,-21,4,17
19,-24,-11,-5,4,7,-6,26,-13,18,3,-25,9,-29,27,17,-16,-10,-1,23,22,-21,-20,2,12,-8,-15,-30,14,28
-28,6,29,19,10,-2,22,-23,-24,-5,-27,30,-14,13,-20,18,-26,-16,-4,15,-25,-7,8,9,21,17,11,1,-3,-12
8,12,-15,-18,-14,-11,-21,-1,-25,-30,6,-2,-26,5,3,-29,-28,4,27,-24,7,-23,22,20,9,13,-19,17,16,10
10,-6,-29,16,-26,2,-15,28,-22,-1,20,14,-18,-12,7,-4,27,13,21,-11,-19,9,-25,-30,23,5,-17,-8,3,24
6,3,-2,-13,16,-1,-8,7,24,-18,28,-30,4,-26,25,-5,-19,10,17,22,29,-20,27,-9,-15,14,-23,-11,-21,12
10,21,-5,30,3,24,13,20,-12,-1,28,9,-7,22,-19,-18,29,16,15,-8,-2,-14,27,-6,-26,25,-23,-11,-17,-4
-25,9,-17,5,-4,-21,-15,27,-2,22,26,19,-14,13,7,-23,3,-29,-12,-30,6,-10,16,-28,1,-11,-8,24,18,20
27,-21,-6,23,-16,3,-8,7,-28,-20,-25,30,-26,-18,22,5,-19,14,17,10,2,-15,-4,29,11,13,-1,9,-24,-12
-21,-23,29,-25,28,18,-11,22,27,20,7,-19,-26,16,17,-14,-15,-6,12,-10,1,-8,2,-30,4,13,-9,-5,-3,24
2,-1,-19,-9,-15,-14,-25,-24,4,-21,18,29,27,6,5,22,-28,-11,3,-30,10,-16,26,8,7,-23,-13,17,-12,20
7,-11,-17,-16,-13,-15,-1,20,26,-24,2,25,5,22,6,4,3,-21,-30,-8,18,-14,29,10,-12,-9,28,-27,-23,19
