3,10,-1,-8,-11,-12,-9,4,7,-2,5,6
-9,-6,-4,3,12,2,10,-11,1,-7,8,-5
6,11,-8,5,-4,-1,9,3,-7,12,-2,-10
-11,4,7,-2,10,8,-3,-6,-12,-5,1,9
8,12,-9,7,6,-5,-4,-1,3,11,-10,-2
-7,-3,2,6,-10,-4,1,9,-8,5,-12,11
2,-1,6,-7,11,-3,4,-12,10,-9,-5,8
-12,-11,-10,9,-6,5,-8,7,-4,3,2,1
11,9,-7,12,8,-10,3,-5,-2,6,-1,-4
9,-12,10,-6,-7,4,5,11,-1,-3,-8,2
-2,1,8,-9,-12,-11,-10,-3,4,7,6,5
12,-4,11,2,9,-7,6,-10,-5,8,-3,-1
-8,3,-2,-12,7,10,-5,1,-11,-6,9,4
-3,-10,1,-5,4,7,-6,-9,8,2,12,-11
7,6,12,10,-8,-2,-1,5,11,-4,-9,-3
4,-5,-11,-1,2,-8,12,6,-10,9,3,-7
-6,7,-12,11,-9,1,-2,10,5,-8,-4,3
-4,8,5,1,-3,9,-11,-2,-6,-12,7,10
-5,-7,9,-10,1,11,2,12,-3,4,-6,-8
10,-8,-5,-11,3,-9,-12,2,6,-1,4,7
5,-9,4,-3,-1,12,8,-7,2,-11,10,-6
-10,5,-6,8,-2,3,11,-4,12,1,-7,-9
