-25,24,33,16,-9,14,32,13,5,-18,36,30,-8,-6,-23,-4,22,10,27,29,34,-17,15,-2,1,-31,-19,35,-20,-12,26,-7,-3,-21,-28,-11
-29,31,-16,6,11,-4,-35,22,-26,-23,-5,34,-14,13,-27,3,-24,-32,-33,28,-36,-8,10,17,30,9,15,-20,1,-25,-2,18,19,-12,7,21
13,-6,-15,22,-25,2,-33,27,14,11,-10,-35,-1,-9,3,29,28,34,-20,19,-31,-4,36,-26,5,24,-8,-17,-16,-32,21,30,7,-18,12,-23
-17,28,20,-31,-13,-30,36,-22,-24,23,35,16,5,-18,26,-12,1,14,29,-3,-32,8,-10,9,-34,-15,33,-2,-19,6,4,21,-27,25,-11,-7
-34,-20,-28,18,-35,10,31,-14,19,-6,-21,-13,12,8,16,-15,32,-4,-9,2,11,-30,-36,29,-27,-33,25,3,-24,22,-7,-17,26,1,5,23
9,-32,-19,-5,4,-8,13,6,-1,-14,-25,35,-7,10,-18,34,-23,15,3,-36,-28,-27,17,-33,11,31,22,21,30,-29,-26,2,24,-16,-12,20
35,16,28,8,12,9,-34,-4,-6,24,26,-5,27,20,32,-2,25,31,-22,-14,-29,19,-33,-10,-17,-11,-13,-3,21,36,-18,-15,23,7,-1,-30
-15,-22,-6,-9,-27,3,11,-21,4,-34,-7,18,-26,-23,1,-19,-36,-12,16,-29,8,2,14,28,32,13,5,-24,20,-35,33,-25,-31,10,30,17
-24,35,31,36,25,-34,-20,14,-17,-16,19,-27,30,-8,-26,10,9,29,-11,7,23,-33,-21,1,-5,15,12,32,-18,-13,-3,-28,22,6,-2,-4
-6,27,8,20,-28,1,-30,-3,-33,29,-15,24,-36,-32,11,-17,16,21,34,-4,-18,26,-35,-12,-31,-22,-2,5,-10,7,25,14,9,-19,23,13
24,-8,30,-19,33,-9,28,2,6,26,17,-36,32,23,-16,15,-11,-20,4,18,-22,21,-14,-1,34,-10,-29,-7,27,-3,-35,-13,-5,-25,31,12
15,-21,-34,-24,-6,5,-10,33,-23,7,-14,32,-18,11,-1,-25,-30,13,-29,22,2,-20,9,4,16,36,35,-31,19,17,28,-12,-8,3,-27,-26
-9,34,23,12,35,-17,29,-32,1,-31,21,-4,33,-15,14,18,6,-16,26,-27,-11,36,-3,-28,-30,-19,20,24,-7,25,10,8,-13,-2,-5,-22
-8,-33,-30,7,21,-25,-4,1,-27,22,-32,15,28,-20,-12,-24,18,-17,23,14,-5,-10,-19,16,6,-34,9,-13,36,3,35,11,2,26,-31,-29
25,18,-23,33,29,34,24,26,-21,32,-35,17,-19,30,27,31,-12,-2,13,-22,9,20,3,-7,-1,-8,-15,-36,-5,-14,-16,-10,-4,-6,11,28
-18,-31,19,-14,-11,-27,17,-20,28,-26,5,-15,-25,4,12,23,-7,1,-3,8,-34,24,-16,-22,13,10,6,-9,-33,-36,2,35,29,21,-32,30
