7,-41,-30,34,37,-14,-1,-32,15,35,-38,-21,39,6,-9,23,25,28,31,-40,12,-42,-16,-33,-17,-36,-29,-18,27,3,-19,8,24,-4,-10,26,-5,11,-13,20,2,22
-32,-16,-18,-8,11,-39,20,4,14,17,-5,-22,-24,-9,-30,2,-10,3,-26,-7,33,12,-42,13,29,19,37,40,-25,15,38,1,-21,41,-36,35,-27,-31,6,-28,-34,23
-2,1,-12,-7,-37,28,4,16,-29,-34,24,3,31,33,-19,-8,21,26,15,23,-17,36,-20,-11,42,-18,38,-6,9,-35,-13,-41,-14,10,30,-22,5,-27,-40,39,32,-25
-39,-24,36,30,16,-29,-19,-15,-42,14,27,35,-32,-10,8,-5,37,-22,7,40,-25,18,33,2,21,-31,-11,-34,6,-4,26,13,-23,28,-12,-3,-17,41,1,-20,-38,9
35,-9,17,-16,-18,8,11,-6,2,25,-7,-36,-37,-33,28,4,-3,5,34,26,-23,-27,21,42,-10,-20,22,-15,-31,41,29,39,14,-19,-1,12,13,-40,-32,38,-30,-24
-16,6,19,23,-22,-2,-10,30,24,7,-28,42,33,41,-21,1,-32,-38,-3,-29,15,5,-4,-9,-37,34,36,11,20,-8,35,17,-13,-26,-31,-27,25,18,40,-39,-14,-12
-34,20,-11,-25,-12,-17,18,-13,38,-24,3,5,8,-35,-23,40,6,-7,29,-2,37,32,15,10,4,-28,-33,26,-19,31,-30,-22,27,1,14,-41,-21,-9,-42,-16,36,39
3,31,-1,-5,4,9,-34,17,-6,-32,36,-19,-39,-29,25,-42,-8,-20,12,18,-22,21,-38,27,-15,30,-24,-35,14,-26,-2,10,-40,7,28,-11,-41,23,13,33,37,16
21,-36,9,6,-10,-4,-16,-35,-3,5,22,-28,-30,24,-18,7,42,15,27,-32,-1,-11,-31,-14,34,-38,-19,12,40,13,23,20,41,-25,8,2,-39,26,37,-29,-33,-17
-20,26,-16,-21,38,-23,-22,36,31,11,-10,34,32,-15,14,3,40,-39,-28,1,4,7,6,25,-24,-2,41,19,-37,35,-9,-13,42,-12,-30,-8,29,-5,18,-17,-27,-33
17,-31,14,24,32,29,41,39,-37,-42,28,-35,26,-3,33,19,-1,40,-16,25,-38,23,-22,-4,-20,-13,-36,-11,-6,-34,2,-5,-15,30,12,27,9,21,-8,-18,-7,10
-10,39,-17,-27,-7,32,5,24,16,1,-30,-26,-42,-35,-20,-9,3,23,-41,15,22,-21,-18,-8,33,12,4,34,37,11,-40,-6,-25,-28,14,38,-29,-36,-2,31,19,13
8,-7,12,-18,31,-19,2,-1,-15,-14,13,-3,-11,10,9,27,-33,4,6,-25,28,37,-32,34,20,29,-16,-21,-26,-39,-5,23,17,-24,38,-40,-22,-35,30,36,42,-41
18,28,-22,-13,9,30,-23,20,-5,26,-15,33,4,35,11,42,-37,-1,-40,-8,-24,3,7,21,-31,-10,29,-2,-27,-6,25,34,-12,-32,-14,41,17,39,-38,19,-36,-16
