-5,-6,-7,-8,1,2,3,4,-11,-12,9,10
-8,-5,-4,3,2,12,-9,1,7,-11,10,-6
9,6,11,7,-8,-2,-4,5,-1,12,-3,-10
3,5,-1,-9,-2,-12,10,-11,4,-7,8,6
-4,-12,9,1,-11,-10,-8,7,-3,6,5,2
-6,11,4,-3,9,1,12,10,-5,-8,-2,-7
8,-7,-10,11,6,-5,2,-1,-12,3,-4,9
-11,10,-9,-6,-7,4,5,12,3,-2,1,-8
12,-4,-11,2,-6,5,-10,-9,8,7,3,-1
-3,8,1,-5,4,7,-6,-2,10,-9,-12,11
10,-3,2,12,8,-11,9,-5,-7,-1,6,-4
4,7,10,-1,-12,-8,-2,6,11,-3,-9,5
-9,4,-8,-2,-10,11,-12,3,1,5,-6,7
6,9,12,-10,11,-1,8,-7,-2,4,-5,-3
7,-10,-5,8,3,-9,-1,-4,6,2,12,-11
2,-1,7,-12,-9,10,-3,11,5,-6,-8,4
-10,12,-6,5,-4,3,11,9,-8,1,-7,-2
11,-9,8,10,12,-7,6,-3,2,-4,-1,-5
-7,-8,6,-11,10,-3,1,2,12,-5,4,-9
-2,1,-12,9,7,8,-5,-6,-4,11,-10,3
5,3,-2,6,-1,-4,-11,-12,-10,9,7,8
-12,-11,5,-7,-3,9,4,-10,-6,8,2,1
