-41,30,-10,-52,19,-25,38,39,-44,3,17,-18,-36,29,43,34,-11,12,-5,48,-35,49,54,-50,6,-33,-40,-46,-14,-2,53,45,26,-16,21,13,42,-7,-8,27,1,-37,-15,9,-32,28,-51,-20,-22,24,47,4,-31,-23
-54,-32,50,44,-30,18,-8,7,-36,26,28,39,51,17,52,-23,-14,-6,33,-41,-49,-47,16,42,-35,-10,31,-11,38,5,-27,2,-19,40,25,9,-46,-29,-12,-34,20,-24,48,-4,53,37,22,-43,21,-3,-13,-15,-45,1
18,47,-41,-26,10,19,34,-25,39,-5,51,-23,43,21,46,-44,-32,-1,-6,50,-14,-52,12,-36,8,4,33,42,-31,-48,29,17,-27,-7,54,24,-38,37,-9,-45,3,-28,-13,16,40,-15,-2,30,-53,-20,-11,22,49,-35
30,-12,-17,-18,-29,-9,14,31,6,35,-33,2,23,-7,-21,-46,3,4,-37,-52,15,36,-13,26,-39,-24,47,-44,5,-1,-8,-40,11,-38,-10,-22,19,34,25,32,-43,53,41,28,-48,16,-27,45,-50,49,-54,20,-42,51
-34,19,41,-6,-25,4,13,-50,-23,-16,-42,-21,-7,54,-29,10,49,-48,-2,37,12,39,9,-51,5,46,-52,35,15,-33,45,-36,30,1,-28,32,-20,47,-22,43,-3,11,-40,-53,-31,-26,-38,18,-17,8,24,27,44,-14
13,-22,-35,21,9,-41,-43,48,-5,-36,-30,40,-1,42,51,-17,16,-31,44,28,-4,2,38,33,-45,-53,-39,-20,-47,11,18,46,-24,54,3,10,52,-23,27,-12,6,-14,7,-19,25,-32,29,-8,50,-49,-15,-37,26,-34
-28,16,26,6,-11,-4,-44,-23,51,-50,5,-35,15,47,-13,-2,-53,52,27,32,46,-31,8,-39,-34,-3,-19,1,45,-42,22,-20,-36,25,12,33,40,-43,24,-37,-49,30,38,7,-29,-21,-14,54,41,10,-9,-18,17,-48
3,28,-1,39,42,17,35,37,-32,14,36,29,-47,-10,-51,38,-6,30,48,-27,23,53,-21,44,31,40,20,-2,-12,-18,-25,9,-49,-54,-7,-11,-8,-16,-4,-26,-52,-5,-46,-24,50,43,13,-19,33,-45,15,41,-22,34
-27,-5,22,-42,2,16,-40,54,19,46,-52,-39,35,36,23,-6,-33,-45,-9,34,37,-3,-15,-29,-41,-38,1,-43,24,32,50,-30,17,-20,-13,-14,-21,26,12,7,25,4,28,51,18,-10,49,53,-47,-31,-44,11,-48,-8
-23,42,-7,40,-13,11,3,47,-33,-29,-6,-36,5,19,53,-49,21,-54,-14,-25,-17,34,1,39,20,-32,46,41,10,-52,-43,26,9,-22,-37,12,35,48,-24,-4,-28,-2,31,50,-51,-27,-8,-38,16,-44,45,30,-15,18
32,-9,10,8,51,-28,-50,-4,2,-3,39,-13,12,44,41,43,-30,29,21,-40,-19,-23,22,-31,33,-37,-34,6,-18,17,24,-1,-25,27,46,47,26,-54,-11,20,-15,-45,-16,-14,42,-35,-36,49,-48,7,-5,-53,52,38
