-26,39,7,-8,-12,25,-3,4,41,-24,15,5,37,40,-11,-31,-33,20,-35,-18,27,-28,29,10,-6,1,-21,22,-23,-32,16,30,17,-42,19,-38,-13,36,-2,-14,-9,34
38,11,-24,-20,-21,-18,-29,31,19,-26,-2,34,-28,-35,-40,-25,-27,6,-9,4,5,-39,-33,3,16,10,17,13,7,-32,-8,30,23,-12,14,-42,41,-1,22,15,-37,36
-36,19,-11,-30,-33,25,41,-42,-10,9,3,-15,37,34,12,38,31,-23,-2,32,29,28,18,27,-6,-35,-24,-22,-21,4,-17,-20,5,-14,26,1,-13,-16,40,-39,-7,8
-5,4,15,-2,1,27,38,41,10,-9,-40,42,-28,24,-3,19,-25,22,-16,26,36,-18,34,-14,17,-20,-6,13,35,31,-30,37,39,-23,-29,-21,-32,-7,-33,11,-8,-12
32,-19,-21,-36,-34,-22,13,20,15,31,17,-24,-7,18,-9,38,-11,-14,2,-8,3,6,-39,12,-29,42,-28,27,25,-35,-10,-1,-37,5,30,4,33,-16,23,-41,40,-26
42,4,34,-2,21,26,-33,32,24,12,-23,-10,-20,-39,28,-25,29,38,35,13,-5,41,11,-9,16,-6,-30,-15,-17,27,-40,-8,7,-3,-19,-37,36,-18,14,31,-22,-1
-13,-41,29,-42,20,-35,14,12,34,17,-19,-8,1,-7,37,31,-10,-39,11,-5,22,-21,-27,-28,40,33,23,24,-3,-36,-16,38,-26,-9,6,30,-15,-32,18,-25,2,4
-15,19,11,13,-8,-9,-39,5,6,-32,-3,17,-4,26,1,-21,-12,-40,-2,-37,16,25,36,-41,-22,-14,29,34,-27,-35,33,10,-31,-28,30,-23,20,42,7,18,24,-38
25,23,-41,-13,-40,14,-36,24,-42,34,-17,-29,4,-6,-39,26,11,-38,33,32,28,-30,-2,-8,-1,-16,-35,-21,12,22,37,-20,-19,-10,27,7,-31,18,15,5,3,9
-29,22,-30,34,-32,11,26,-36,40,-16,-6,35,-25,17,41,10,-14,37,-31,33,28,-2,24,-23,13,-7,-42,-21,1,3,19,5,-20,-4,-12,8,-18,-39,38,-9,-15,27
-31,13,17,-26,41,-15,20,-32,19,-16,36,-29,-2,-22,6,10,-3,-37,-9,-7,23,14,-21,34,-28,4,33,25,12,-35,1,8,-27,-24,30,-11,18,-39,38,42,-5,-40
-33,29,41,8,-14,-37,40,-4,-23,-30,-28,-13,12,5,21,25,-26,19,-18,39,-15,-35,9,42,-16,17,-31,11,-2,10,27,36,1,-38,22,-32,6,34,-20,-7,-3,-24
41,-40,-15,9,-26,34,-35,22,-4,-29,-27,-39,38,25,3,-23,33,32,24,37,-28,-8,16,-19,-14,5,11,21,10,42,-36,-18,-17,-6,7,31,-20,-13,12,2,-1,-30
19,-9,-15,41,-34,12,35,-33,2,-30,-40,-6,38,-21,3,-27,-37,-29,-1,26,14,23,-22,32,-31,-20,16,-39,18,10,25,-24,8,5,-7,-42,17,-13,28,11,-4,36
39,-31,5,-14,-3,-32,10,15,-26,-7,-38,-27,-21,4,-8,36,42,25,33,-29,13,37,-28,35,-18,9,12,23,20,-34,2,6,-19,30,-24,-16,-22,11,-1,41,-40,-17
23,27,-19,28,-6,5,32,34,20,-26,-35,29,-33,-41,-37,17,-16,40,3,-9,22,-21,-1,-39,42,10,-2,-4,-12,-31,30,-7,13,-8,11,38,15,-36,24,-18,14,-25
38,-34,-8,41,-36,13,14,3,25,-19,21,-24,-6,-7,27,28,-42,-31,10,-26,-11,30,-39,12,-9,20,-15,-16,-37,-22,18,40,35,2,-33,5,29,-1,23,-32,-4,17
28,-17,-40,18,-30,25,16,-27,-11,23,9,-42,19,35,22,-7,2,-4,-13,-33,-41,-15,-10,37,-6,34,8,-1,-36,5,39,-38,20,-26,-14,29,-24,32,-31,3,21,12
-30,29,-15,-21,35,-27,25,-33,31,-39,32,24,-38,22,3,37,-20,26,36,17,4,-14,42,-12,-7,-18,6,41,-2,1,-9,-11,8,-40,-5,-19,-16,13,10,34,-28,-23
-4,-19,7,1,37,-20,-3,18,33,35,28,-38,-23,-39,-31,-30,24,-8,2,6,29,36,13,-17,-34,27,-26,-11,-21,16,15,42,-9,25,-10,-22,-5,12,14,-41,40,-32
-37,11,-17,27,12,-36,24,-21,-20,23,-2,-5,-39,-35,34,-22,3,42,40,9,8,16,-10,-7,30,28,-4,-26,-32,-25,33,29,-31,-15,14,6,1,41,13,-19,-38,-18
20,31,18,-40,21,-10,-24,-17,13,6,15,-25,-9,-29,-11,-28,8,-3,26,-1,-5,37,-34,7,12,-19,-32,16,14,-41,-2,27,-38,23,-42,39,-22,33,-36,4,30,35
-35,-21,-24,10,-39,27,26,-13,17,-4,40,-41,8,-15,14,-22,-9,-42,-29,-32,2,16,-31,3,-37,-7,-6,-33,19,-34,23,20,28,30,1,-38,25,36,5,-11,12,18
-26,9,-25,-21,11,-8,-40,6,-2,-13,-5,34,10,36,-41,-20,-39,-32,22,16,4,-19,-38,33,3,1,29,-31,-27,-42,28,18,-24,-12,37,-14,-35,23,17,7,15,30
35,-16,-26,21,15,37,-13,22,33,-28,-32,24,7,-20,-5,2,38,-30,31,14,-4,-8,29,-12,-40,3,-34,10,-23,18,-19,11,-9,27,-1,-41,-6,-17,42,25,36,-39
3,-31,-1,24,-28,17,-36,9,-8,34,-12,11,33,35,37,-21,-6,-40,23,-27,16,25,-19,-4,-22,42,20,5,38,-41,2,-39,-13,-10,-14,7,-15,-29,32,18,30,-26
10,-33,24,5,-4,-42,-32,38,39,-1,36,15,-21,-29,-12,-28,-31,-22,25,-23,13,18,20,-3,-19,35,-30,16,14,27,17,7,2,-37,-26,-11,34,-8,-9,41,-40,6
27,38,22,-14,-23,40,-9,30,7,-35,-12,11,26,4,-29,-18,19,16,-17,36,24,-3,5,-21,32,-13,-1,-39,15,-8,-41,-25,34,-33,10,-20,42,-2,28,-6,31,-37
-4,-8,14,1,-41,-42,-25,2,11,13,-9,16,-10,-3,29,-12,36,33,24,-38,34,-23,22,-19,7,35,40,-37,-15,-39,-32,31,-18,-21,-26,-17,28,20,30,-27,5,6
35,8,-10,21,31,18,32,-2,-40,3,30,-23,34,38,-42,-27,-22,-6,-37,-29,-4,17,12,-28,-33,36,16,24,20,-11,-5,-7,25,-13,-1,-26,19,-14,-41,9,39,15
