-12,-6,-4,-3,-9,2,-10,-11,5,7,-8,1
6,8,-11,-12,-10,-1,9,-2,-7,5,3,4
-5,3,2,-8,1,10,12,4,-11,-6,-9,-7
-4,-8,-7,1,12,11,-3,2,-10,9,6,-5
8,7,-6,-9,-11,3,-2,-1,4,-12,5,10
-3,11,1,7,6,-5,-4,10,-12,-8,-2,9
4,5,6,-1,-2,-3,11,12,10,-9,-7,-8
-2,-1,5,-10,3,8,-9,-6,7,4,-12,11
9,-3,-2,11,-6,5,8,-7,-1,12,4,-10
7,-5,9,8,2,-12,-1,-4,-3,-11,10,6
12,6,7,9,10,-2,3,11,-4,-5,8,-1
-6,-10,12,-11,7,1,-5,-9,8,2,-4,3
-10,9,-5,12,-3,-11,-8,7,-2,1,-6,-4
5,4,-12,-2,-1,-7,6,-10,11,8,9,-3
11,-12,-9,6,-8,-4,10,5,3,-7,-1,2
2,-1,10,-5,4,7,-6,9,-8,-3,12,-11
-9,-4,8,2,-7,12,5,-3,1,11,-10,-6
-8,12,-10,-7,11,9,4,1,-6,3,-5,-2
-7,-11,4,-3,9,-10,1,-12,-5,6,2,8
3,10,-1,-6,8,4,-11,-5,12,-2,7,-9
10,-9,11,5,-4,-8,-12,6,2,-1,-3,7
-11,-7,-8,10,-12,-9,2,3,6,-4,1,5
