-2,1,7,8,-14,11,-3,-4,-20,-22,-6,19,-23,5,-24,-21,18,-17,-12,9,16,10,13,15
-17,-22,5,18,-3,15,20,24,12,23,-21,-9,14,-13,-6,19,1,-4,-16,-7,11,2,-10,-8
12,18,-13,6,-19,-4,-10,-21,-23,7,-15,-1,3,22,11,17,-16,-2,5,-24,8,-14,9,20
-14,-19,6,-7,21,-3,4,-20,-17,-12,23,10,-24,1,-18,22,9,15,2,8,-5,-16,-11,13
21,16,-14,-8,-13,-23,-15,4,-11,18,9,-24,5,3,7,-2,-20,-10,-22,17,-1,19,6,12
-23,5,-9,16,-2,24,8,-7,3,22,20,-15,-21,-17,12,-4,14,-19,18,-11,13,-10,1,-6
17,9,23,24,10,14,-19,-15,-2,-5,-12,11,-20,-6,8,21,-1,-22,7,13,-16,18,-3,-4
-4,-6,17,1,-18,2,-24,19,14,21,-13,-20,11,-9,-22,23,-3,5,-8,12,-10,15,-16,7
5,-23,9,-10,-1,-18,21,22,-3,4,15,24,16,19,-11,-13,20,6,-14,-17,-7,-8,2,-12
10,-14,-5,-24,3,-16,-12,-11,-21,-1,8,7,-15,2,13,6,-19,-23,17,-22,9,20,18,4
-22,8,-15,-13,-20,-19,-16,-2,-18,12,-17,-10,4,-24,3,7,11,9,6,5,23,1,-21,14
-13,-9,14,11,15,21,-23,18,2,20,-4,-17,1,-3,-5,-19,12,-8,16,-10,-6,24,7,-22
11,21,-20,-9,-10,-13,22,12,4,5,-1,-8,6,17,23,-18,-14,16,-24,3,-2,-7,-15,19
-16,-17,-19,21,14,-22,24,10,23,-8,13,18,-11,-5,-20,1,2,-12,3,15,-4,6,-9,-7
-24,7,15,-6,-11,4,-2,-17,-22,16,5,20,19,-21,-3,-10,8,23,-13,-12,14,9,-18,1
-6,-16,-7,12,22,1,3,21,15,-19,-23,-4,-14,13,-9,2,-18,17,10,24,-8,-5,11,-20
18,24,12,-21,-16,-7,6,14,-10,9,17,-3,22,-8,20,5,-11,-1,-23,-15,4,-13,19,-2
23,10,-11,-19,17,20,18,-22,-14,-2,3,15,21,9,-12,-24,-5,-7,4,-6,-13,8,-1,16
-8,-24,10,5,-4,7,-6,1,11,-3,-9,13,-12,-16,-21,14,19,-20,-17,18,15,23,-22,2
7,-13,21,-18,-15,19,-1,16,22,11,-10,-23,2,20,5,-8,24,4,-6,-14,-3,-9,12,-17
-3,-12,1,-11,8,-20,13,-5,17,-15,4,2,-7,-19,10,-23,-9,-24,14,6,22,-21,16,18
14,15,-22,13,-6,5,10,20,-19,-7,-24,23,-4,-1,-2,-17,16,-21,9,-8,18,3,-12,11
-10,22,-17,-20,18,-14,23,-9,8,1,21,-16,24,6,19,12,3,-5,-15,4,-11,-2,-7,-13
15,12,22,14,11,8,-9,-6,7,-16,-5,-2,17,-4,-1,10,-13,21,20,-19,-18,-3,-24,23
2,-1,20,9,-12,-15,16,-23,-4,14,18,5,-19,-10,6,-7,-21,-11,13,-3,17,-24,8,22
-20,6,-8,-17,9,-2,-22,3,-5,-21,19,-13,12,16,-23,-14,4,24,-11,1,10,7,15,-18
-21,-7,-10,15,-17,16,2,23,24,3,-14,-22,18,11,-4,-6,5,-13,-20,19,1,12,-8,-9
-19,17,4,-3,-24,-11,-18,-13,-16,-20,6,-14,8,12,22,9,-2,7,1,10,-23,-15,21,5
20,-8,16,-12,19,13,-17,2,-15,-11,10,4,-6,-23,9,-3,7,22,-5,-1,-24,-18,14,21
-5,3,-2,17,1,12,9,11,-7,-14,-8,-6,-22,10,24,18,-4,-16,-21,23,19,13,-20,-15
4,-5,13,-1,2,-24,11,15,18,17,-7,21,-3,-20,-8,-22,-10,-9,23,14,-12,16,-19,6
-7,14,-6,22,-21,3,1,-16,20,19,24,-18,15,-2,-13,8,-23,12,-10,-9,5,-4,17,-11
16,13,-18,7,6,-5,-4,-19,-12,-17,-20,9,-2,-15,14,-1,10,3,8,11,24,-23,22,-21
3,-18,-1,-14,23,-9,19,-10,6,8,12,-11,20,4,-16,15,-24,2,-7,-13,-22,21,-5,17
24,-20,19,-23,-22,18,17,9,-8,13,16,-21,-10,15,-14,-11,-7,-6,-3,2,12,5,4,-1
-18,-4,-23,2,7,10,-5,17,-13,-6,-19,14,9,-12,21,24,-8,1,11,22,-15,-20,3,-16
-15,19,-24,-5,4,-12,-11,-18,10,-9,7,6,23,21,1,-20,22,8,-2,16,-14,-17,-13,3
19,20,-12,-16,-7,23,5,13,-24,15,-18,3,-8,-22,-10,4,21,11,-1,-2,-17,14,-6,9
6,-21,24,20,12,-1,-8,7,13,-23,-16,-5,-9,18,17,11,-15,-14,22,-4,2,-19,10,-3
-11,-15,8,19,-23,-10,-20,-3,21,6,1,16,-18,24,2,-12,-22,13,-4,7,-9,17,5,-14
8,11,-21,23,24,17,-14,-1,19,-13,-2,22,10,7,16,-15,-6,20,-9,-18,3,-12,-4,-5
9,23,-16,-22,20,-21,15,-24,-1,-18,14,-19,-17,-11,-7,3,13,10,12,-5,6,4,-2,8
22,-11,18,-15,-9,-8,14,6,5,-24,2,17,-16,-7,4,13,-12,-3,21,-23,-19,-1,20,10
-12,-10,-4,3,16,9,-13,-14,-6,2,22,1,7,8,18,-5,23,-15,24,21,-20,-11,-17,-19
-9,4,11,-2,13,22,-21,-12,1,24,-3,8,-5,23,-17,20,15,19,-18,-16,7,-6,-14,-10
13,-3,2,10,-8,-17,12,5,16,-4,-22,-7,-1,-18,-19,-9,6,14,15,-21,20,11,24,-23
