-5,-12,7,6,1,-4,-3,10,11,-8,-9,2
4,5,7,-1,-2,-10,-3,12,-11,6,9,-8
10,-8,-6,12,-9,3,11,2,5,-1,-7,-4
-4,-6,-12,1,-10,2,8,-7,11,5,-9,3
-6,3,-2,11,-9,1,-12,-10,5,8,-4,7
7,-12,10,-8,9,11,-1,4,-5,-3,-6,2
9,-5,12,-10,2,-8,-11,6,-1,4,7,-3
4,10,12,-1,-11,-7,6,9,-8,-2,5,-3
7,6,-11,-10,8,-2,-1,-5,-12,4,3,9
-3,5,1,-7,-2,-10,4,12,-11,6,9,-8
-10,-5,8,-7,2,-12,4,-3,-11,1,9,6
-7,-4,-5,2,3,12,1,11,-10,9,-8,-6
-9,-4,7,2,-11,-10,-3,-12,1,6,5,8
11,6,-8,12,-10,-2,-9,3,7,5,-1,-4
9,-12,-5,10,3,11,8,-7,-1,-4,-6,2
-8,11,-12,-9,-7,-10,5,1,4,6,-2,3
-4,5,10,1,-2,12,11,9,-8,-3,-7,-6
7,6,-12,5,-4,-2,-1,10,-11,-8,9,3
9,3,-2,6,8,-4,-11,-5,-1,12,7,-10
-6,12,8,10,11,1,9,-3,-7,-4,-5,-2
-12,4,-7,-2,8,-11,3,-5,-10,9,6,1
-5,-10,-8,-9,1,-7,6,3,4,2,12,-11
