-12,-10,-9,-11,-7,8,5,-6,3,2,4,1
10,-12,11,-5,4,9,8,-7,-6,-1,-3,2
-9,-11,10,12,7,-8,-5,6,1,-3,2,-4
-8,4,5,-2,-3,7,-6,1,-12,-11,10,9
11,-9,-7,-12,-8,-10,3,5,2,6,-1,4
7,5,9,10,-2,11,-1,-12,-3,-4,-6,8
8,9,-11,6,12,-4,10,-1,-2,-7,3,-5
-2,1,4,-3,10,12,-8,7,11,-5,-9,-6
-11,-5,-12,8,2,-9,-10,-4,6,7,1,3
9,8,6,-7,-10,-3,4,-2,-1,5,12,-11
2,-1,7,5,-4,-11,-3,12,10,-9,6,-8
-5,11,12,-6,1,4,9,-10,-7,8,-2,-3
-7,10,-6,-8,-9,3,1,4,5,-2,-12,11
6,-7,-4,3,-12,-1,2,11,-10,9,-8,5
5,-4,-10,2,-1,-12,-11,9,-8,3,7,6
4,-3,2,-1,8,10,12,-5,-11,-6,9,-7
-10,6,-8,7,11,-2,-4,3,12,1,-5,-9
-3,7,1,-9,-6,5,-2,-11,4,-12,8,10
12,-6,-5,-10,3,2,11,-9,8,4,-7,-1
-6,3,-2,11,9,1,-12,10,-5,-8,-4,7
-4,12,8,1,6,-5,-9,-3,7,11,-10,-2
3,-8,-1,9,-11,-7,6,2,-4,12,5,-10
