3,-4,-1,2,-8,7,-6,5,-12,11,-10,9
-9,-5,-7,6,2,-4,3,11,1,12,-8,-10
-12,-3,2,-11,7,-9,-5,-10,6,8,4,1
-5,8,-4,3,1,-11,-10,-2,12,7,6,-9
6,-7,8,11,10,-1,2,-3,12,-5,-4,-9
-6,4,-11,-2,-9,1,12,10,5,-8,3,-7
11,-12,4,-3,8,-10,9,-5,-7,6,-1,2
-11,6,7,5,-4,-2,-3,10,-12,-8,1,9
2,-1,4,-3,8,-9,12,-5,6,-11,10,-7
10,-6,5,-8,-3,2,12,4,-11,-1,9,-7
7,4,-8,-2,-6,5,-1,3,10,-9,-12,11
-5,8,7,-6,1,4,-3,-2,12,-11,10,-9
9,4,8,-2,-12,-10,-11,-3,-1,6,7,5
-6,-9,-8,12,-10,1,-11,3,2,5,7,-4
5,-7,-4,3,-1,-11,2,9,-8,-12,6,10
6,10,5,8,-3,-1,11,-4,-12,-2,-7,9
5,9,-10,-8,-1,-11,-12,4,-2,3,6,7
-2,1,-10,9,6,-5,-12,11,-4,3,-8,7
-5,-3,2,-10,1,7,-6,-12,-11,4,9,8
4,-7,-9,-1,-10,8,2,-6,3,5,12,-11
-12,11,-7,-9,-8,10,3,5,4,-6,-2,1
-8,-10,-12,7,-11,-9,-4,1,6,2,5,3
