-19,14,-7,23,-12,29,3,13,20,28,16,5,-8,-2,-26,-11,-30,-22,1,-9,-25,18,-4,27,21,15,-24,-10,-6,17
7,-21,28,-11,17,-15,-1,-25,20,-13,4,14,10,-12,6,27,-5,-30,26,-9,2,23,-22,29,8,-19,-16,-3,-24,18
-3,6,1,-23,18,-2,17,-27,-29,26,-14,-16,-20,11,-19,12,-7,-5,15,13,22,-21,4,28,-30,-10,8,-24,9,25
20,-10,4,-3,-27,25,24,19,17,2,-21,-22,-28,-16,-29,14,-9,23,-8,-1,11,12,-18,-7,-6,30,5,13,15,-26
7,-20,-16,13,27,25,-1,-23,-18,-14,-26,-29,-4,10,28,3,-19,9,17,2,24,-30,8,-21,-6,11,-5,-15,12,22
-26,11,6,22,10,-3,-16,-9,8,-5,-2,-19,-28,-27,25,7,-18,17,12,30,-29,-4,-24,23,-15,1,14,13,21,-20
21,-20,15,11,9,7,-6,18,-5,27,-4,-13,12,24,-3,-19,22,-8,16,2,-1,-17,-26,-14,28,23,-10,-25,30,-29
-7,14,6,-17,-19,-3,1,18,13,-29,26,21,-9,-2,-24,-22,4,-8,5,28,-12,16,25,15,-23,-11,30,-20,10,-27
-14,-28,27,20,21,9,12,-16,-6,24,-26,-7,29,1,-25,8,23,19,-18,-4,-5,-30,-17,-10,15,11,-3,2,-13,22
-17,-28,23,11,12,7,-6,-21,20,22,-4,-5,-24,-26,-18,25,1,15,-27,-9,8,-10,-3,13,-16,14,19,2,-30,29
-6,-22,21,20,7,1,-5,-19,13,24,18,-16,-9,-15,14,12,-26,-11,8,-4,-3,2,-28,-10,-27,17,25,23,30,-29
-27,-17,11,-30,-16,25,-10,20,24,7,-3,15,-26,23,-12,5,2,-19,18,-8,-22,21,-14,-9,-6,13,1,29,-28,4
27,-21,15,-26,-28,30,-10,11,-14,7,-8,24,18,9,-3,-20,-22,-13,25,16,2,17,-29,-12,-19,4,-1,5,23,-6
