9,15,-7,14,18,-16,3,-17,-1,11,-10,-13,12,-4,-2,6,8,-5
10,17,-5,6,3,-4,-13,-11,18,-1,8,16,7,15,-14,-12,-2,-9
-11,9,7,-17,-15,13,-3,12,-2,18,1,-8,-6,-16,5,14,4,-10
8,-15,-18,-13,-14,-17,16,-1,11,-12,-9,10,4,5,2,-7,6,3
12,10,14,9,16,15,-8,7,-4,-2,18,-1,17,-3,-6,-5,-13,-11
16,7,-9,12,-17,-8,-2,6,3,13,14,-4,-10,-11,18,-1,5,-15
-4,-3,2,1,6,-5,17,-14,-12,-16,-18,9,15,8,-13,10,-7,11
-6,-9,4,-3,12,1,14,-16,2,-13,-15,-5,10,-7,11,8,18,-17
-17,-7,10,5,-4,9,2,13,-6,-3,16,15,-8,18,-12,-11,1,-14
11,12,-16,7,14,18,-4,-10,-13,8,-1,-2,9,-5,17,3,-15,-6
-3,-16,1,8,7,-11,-5,-4,-15,17,6,13,-12,-18,9,2,-10,14
2,-1,18,-7,13,-9,4,11,6,16,-8,14,-5,-12,-17,-10,15,-3
-18,-13,-15,-8,-16,17,-11,4,12,-14,7,-9,2,10,3,5,-6,1
-2,1,-4,3,15,-7,6,-18,10,-9,12,-11,-14,13,-5,17,-16,8
-5,4,-14,-2,1,-12,-17,10,-18,-8,-13,6,11,3,16,-15,7,9
6,13,8,-9,-11,-1,-15,-3,4,12,5,-10,-2,-17,7,18,14,-16
-8,-6,-11,15,10,2,-14,1,-16,-5,3,-18,-17,7,-4,9,13,12
-16,5,-13,-18,-2,-10,11,15,14,6,-7,17,3,-9,-8,1,-12,4
-15,-11,17,-12,-9,-14,-10,16,5,7,2,4,18,6,1,-8,-3,-13
13,-18,16,-15,17,8,-12,-6,-10,9,-14,7,-1,11,4,-3,-5,2
18,3,-2,10,-7,16,5,-13,15,-4,-17,-14,8,12,-9,-6,11,-1
5,-4,15,2,-1,-13,-16,9,-8,14,-12,11,6,-10,-3,7,-18,17
-13,-10,-12,-5,4,7,-6,17,-11,2,9,3,1,-15,14,-18,-8,16
-10,-12,5,13,-3,11,18,14,-17,1,-6,2,-4,-8,-16,15,9,-7
4,18,12,-1,-6,5,15,-9,8,-11,10,-3,16,17,-7,-13,-14,-2
17,6,11,-16,-10,-2,-18,-12,-14,5,-3,8,-15,9,13,4,-1,7
-14,-17,-8,18,11,12,-9,3,7,-15,-5,-6,-16,1,10,13,2,-4
-7,-8,-17,-11,-12,10,1,2,16,-6,4,5,14,-13,-18,-9,3,15
3,16,-1,-14,8,-18,10,-5,17,-7,13,-15,-11,4,12,-2,-9,6
14,8,6,11,9,-3,12,-2,-5,15,-4,-7,-18,-1,-10,-17,16,13
7,-5,-10,17,2,14,-1,18,13,3,15,-16,-9,-6,-11,12,-4,-8
-12,14,-6,16,-13,3,9,-15,-7,-18,17,1,5,-2,8,-4,-11,10
15,11,9,-6,-8,4,13,5,-3,-17,-2,18,-7,16,-1,-14,10,-12
-9,-14,13,-10,-18,-15,8,-7,1,4,-16,-17,-3,2,6,11,12,5
